CODIGO,MATERIA,REPETICION
100915020842,Taller Optativo 1 Bidimensional o Tridimensional,1
100919020121,Video Arte,1
103018010946," Laboratorio de Botánica de Briófitos, Licófitos y Monilófitos",2
103022020602," Laboratorio de Botánica de Briófitos, Licófitos y Monilófitos",1
103022020626,Bioencuentros,1
103020011055,Bioestadística,1
103019010188,Bioestadística,3
103021010716,Bioestadística,1
103018010946,Biofísica,1
103021020628,Biofísica,1
103021020607,Biología Celular ,2
103022020619,Biología del Desarrollo,1
103022020602,Biología del Desarrollo,1
103020011066,Biología del Desarrollo,1
103023010804,Biología Fundamental,1
103020011036,Bioquímica General,1
103019010163,Bioquímica General,1
103019010187,Bioquímica General,1
103022010791,"Botánica de Briófitos, Licófitos y Monilófitos",1
103022020602,"Botánica de Briófitos, Licófitos y Monilófitos",1
103019020714,"Botánica de Briófitos, Licófitos y Monilófitos",1
103021020616,Botánica de Gimnospermas y Angiospermas,1
103022020619,Cálculo I ,1
103022020614,Cálculo I ,1
103020011061,Cálculo I ,1
103017020820,Cálculo I ,1
103022020611,Cálculo I ,1
103022020625,Cálculo I ,1
103021010736,Cálculo I ,1
103022020618,Cálculo I ,1
203017021775,Cálculo II,2
30092026,Cálculo II,1
103014011253,Cálculo II,3
103021020619,Cálculo II,2
203017021775,Diseño Experimental ,2
103018011161,Diseño Experimental ,1
103018011161,Ecología General,1
103013020044,Ecología Vegetal,3
103016010639,Evolución ,1
103015020350,Evolución ,2
203017021775,Fisiología Animal ,1
103016020354,Fisiología Animal ,1
30101356,Fisiología Animal ,1
103018021377,Fisiología Animal ,1
103018010946,Formación Integral IV - Bioética,1
103018011161,Genética,2
103020011038,Geosistemas,1
103018021376,Geosistemas,1
103021020602,Geosistemas,1
103020011064,Geosistemas,1
103022020631,La Lectura y la Escritura,1
103021021288,La Lectura y la Escritura,1
103022020602,Laboratorio de Biología Celular,1
103019020713,Laboratorio de Biología del Desarrollo,1
103020011058,Laboratorio de Biología del Desarrollo,1
103021020616,Laboratorio de Botánica de Gimnospermas y Angiospermas,1
203017021775,Laboratorio de Química Analítica General,3
103022010808,Laboratorio de Química General,1
103022010801,Laboratorio de Química General,1
103017020820,Laboratorio de Química Orgánica,1
103021020607,Laboratorio de Química Orgánica,1
103018020525,Laboratorio Fisiología Animal ,1
103019010185,Laboratorio Fisiología Vegetal,1
103023010785,Matemáticas Generales,1
103022020626,Matemáticas Generales,1
103021020610,Matemáticas Generales,2
103022010808,Matemáticas Generales,2
103023010768,Matemáticas Generales,1
103022020601,Matemáticas Generales,1
103023010799,Matemáticas Generales,1
103022010792,Matemáticas Generales,1
103022020629,Matemáticas Generales,1
103022010809,Matemáticas Generales,1
103023010781,Matemáticas Generales,1
103023010792,Matemáticas Generales,1
103022010788,Matemáticas Generales,1
103022011595,Matemáticas Generales,1
103021020633,Matemáticas Generales,1
